genes,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Usp18,0.0,0.0,0.0,0.061178785,0.04704577,0.16148573,0.102283046,0.0,0.18973653,0.123552166,0.1680354,0.23391782,0.47460103,0.7399878,0.7544736,0.6601343,0.6534189,0.63844866,0.68744934,0.836176,0.8416048,1.0655034,1.237421,1.2949387,1.2772619,1.1712753,1.1014589,1.1993729,1.3001463,1.3315796,1.0635604,1.1687902,1.1908089,1.2339116,1.3437486,1.340728,1.3856268,1.2390947,1.30431,1.4002131,1.2608893,1.4913433,1.3631909,1.3564758,1.4633046,1.5093279,1.4851531,1.3339982,0.7641589,0.0
Cd74,1.511996,0.45265597,0.39236212,0.56814027,0.3777742,0.49483472,0.25871402,0.5509566,0.82520336,0.7055378,0.6463702,0.5216164,0.60372794,0.6790692,0.721566,0.72170734,0.7588972,0.9146117,1.0941557,1.3554635,1.6986454,1.4907162,1.5631484,1.3807349,1.4834374,1.6254417,1.571256,1.9114817,1.6325079,1.6854508,1.7674778,1.8714644,1.8635023,2.1201725,2.1812482,1.9325156,1.5878907,1.8162876,2.0543106,2.2181816,2.021151,2.4318106,2.733034,2.515587,2.4537354,2.725996,3.7356048,2.9766002,3.6393886,3.6092124
Il1rn,0.0,1.090133,1.1306077,0.71551853,0.8560563,0.68557304,0.59385186,0.9381899,0.89481,0.7771649,0.73174894,0.686134,0.81561863,0.93677616,0.90802246,0.8955498,0.86241925,0.8901342,1.0613188,0.9286521,1.0893826,1.1805413,1.3679272,1.658181,1.7574472,1.746838,2.0587192,1.9731597,2.0348785,2.1091733,1.9681658,2.216916,2.0245848,1.9329609,2.1324883,2.176563,1.8668458,2.160327,2.028113,1.8756112,2.1553366,1.92633,1.7895212,1.7976439,1.6846827,2.0409002,1.8015611,1.4564358,1.574306,3.192902
Ifit3,0.6646775,0.47373357,0.9780923,0.89108276,0.7931796,0.7355208,1.0529262,0.37831354,1.2398764,0.9880827,0.9507546,0.91113687,1.4840821,2.1114175,2.2597709,2.2679973,2.1737149,2.2054522,2.1151016,2.245342,2.3554513,2.5741796,2.823212,2.7632887,2.6825533,2.6962705,2.659315,2.492956,2.641701,2.770756,2.3911963,2.5402052,2.4747133,2.511737,2.645944,2.6836615,2.7313547,2.5699883,2.6806562,2.8439786,2.577382,2.8897345,2.6045601,2.7341797,2.667678,2.8243515,2.4196281,2.7499764,1.6803011,1.5246848
Fas,1.3871458,0.809402,0.81344855,0.4882456,0.71462446,0.6050319,0.6215935,0.7299427,0.72417766,0.37518898,0.26463714,0.27806878,0.40976712,0.6272177,0.6124476,0.5490754,0.48048797,0.5257743,0.6131043,0.66674566,0.7789238,1.024969,1.0533684,1.1932995,1.2157995,1.2176641,1.2876772,1.2743682,1.4897379,1.5487411,1.3247339,1.427791,1.3869748,1.3074312,1.5274134,1.373524,1.3431623,1.4742414,1.4689097,1.3754399,1.4855115,1.2272148,1.1460365,1.0975233,1.3071651,1.3080695,1.0477581,1.047002,1.1001341,0.0
LOC101834882,0.0,0.0,0.050338738,0.036705103,0.0,0.0,0.0,0.0,0.02596911,0.0063638967,0.0024129443,0.008127442,0.008965193,0.009931452,0.025178442,0.027930412,0.020827182,0.038847804,0.05562586,0.057420284,0.05974761,0.08547248,0.14572647,0.17329907,0.21521269,0.23093241,0.28572157,0.27093452,0.34950563,0.44880325,0.3791424,0.45896772,0.48123792,0.48065495,0.5680065,0.5710969,0.53714967,0.63080066,0.696046,0.6117264,0.65377456,0.58521175,0.5150537,0.6468716,0.555232,0.8331412,0.73093116,0.6503708,0.883376,0.0
Mnda,0.43550077,1.2305282,1.0217699,1.2206616,1.1642238,1.1558845,1.1200925,0.6699752,0.5973017,0.6158676,0.5004146,0.51203865,0.86057097,1.2405398,1.3021182,1.148122,1.1207875,1.1055905,1.2458365,1.3224301,1.4871047,1.6537353,1.837068,1.8746217,1.8142728,1.8445618,1.8590404,1.6305133,1.9849573,1.7939676,1.8274525,1.8308556,1.8740065,1.9413228,1.9069456,1.9280716,2.0369673,1.7977741,1.9003801,1.8360795,1.8981863,2.1585886,2.0341368,2.012014,1.7950224,2.1524029,1.8266417,2.0473664,1.1575962,1.0284929
Tmco6,0.53281075,0.0,0.0,0.0,0.114562206,0.0,0.0,0.0,0.056449745,0.026114495,0.05966529,0.060839113,0.05436931,0.06620704,0.118203804,0.19453157,0.22668187,0.24152495,0.28854188,0.34214413,0.36746892,0.41280535,0.5126411,0.56607497,0.5995554,0.65461457,0.79734236,0.69317424,0.7809146,0.5858097,0.68538934,0.832728,0.64302826,0.6925818,0.63322484,0.58734506,0.6728273,0.68250674,0.53939885,0.4491052,0.63335025,0.43079475,0.544497,0.49797702,0.26471215,0.28546467,0.12476945,0.5017096,0.21551758,0.0
Tap1,0.43550077,0.4371054,0.05262188,0.3251489,0.28534964,0.10200638,0.13275152,0.07026081,0.28309643,0.17783676,0.15002315,0.1819149,0.23871122,0.34674665,0.36273453,0.42488924,0.40401486,0.47338542,0.48046178,0.5749621,0.6146415,0.6323492,0.7776894,0.69403565,0.70636535,0.84923774,0.7560724,0.80444247,0.69164914,0.9452491,0.85202134,0.9129671,0.8950645,0.97268814,1.1089079,0.94867444,0.9661012,0.92360586,0.93234956,0.98108584,0.9874642,0.9999287,0.9246286,0.9864861,0.8417754,1.119692,1.0707967,1.159403,1.053385,1.0284929
Isg20,0.53281075,0.0,0.09577906,0.0,0.08463411,0.06686904,0.0,0.0,0.10591276,0.044174884,0.077390395,0.0668488,0.14641531,0.22436666,0.26057312,0.2310957,0.19105136,0.21846655,0.32759002,0.39094922,0.39182037,0.612487,0.69831514,0.64205766,0.67264986,0.6854018,0.7807996,0.6109478,0.8237631,0.7893183,0.6141827,0.759773,0.8401116,0.6128139,0.76266927,0.9107333,0.85925263,0.8958599,0.7544028,0.8965976,0.93432045,0.8636082,0.7306765,0.8689606,0.90992767,0.73309755,0.68730104,0.98096323,0.3764908,0.0
