,index,freq,total,organism,time,hamster,dummy,dose,total_log10
339,MonocyticMacrophages,0.03839869281045752,90236.92810457517,Dwarfhamster,D0,2,Dwarfhamster_D0_no dose,no dose,4.955384302397912
340,NK cells,0.03594771241830065,84477.12418300653,Dwarfhamster,D0,2,Dwarfhamster_D0_no dose,no dose,4.9267391209483815
341,Myofibroblast,0.0298202614379085,70077.61437908497,Dwarfhamster,D0,2,Dwarfhamster_D0_no dose,no dose,4.845579308918668
342,SmoothMuscle,0.023284313725490197,54718.137254901965,Dwarfhamster,D0,2,Dwarfhamster_D0_no dose,no dose,4.738131304470704
343,Neutrophils,0.016748366013071895,39358.660130718956,Dwarfhamster,D0,2,Dwarfhamster_D0_no dose,no dose,4.595040305517948
344,InterstitialMacrophages,0.016339869281045753,38398.69281045752,Dwarfhamster,D0,2,Dwarfhamster_D0_no dose,no dose,4.584316440126175
345,Plasma cells,0.013888888888888888,32638.888888888887,Dwarfhamster,D0,2,Dwarfhamster_D0_no dose,no dose,4.513735365840468
346,AT1,0.008169934640522876,19199.34640522876,Dwarfhamster,D0,2,Dwarfhamster_D0_no dose,no dose,4.283286444462194
347,cDC,0.006535947712418301,15359.477124183008,Dwarfhamster,D0,2,Dwarfhamster_D0_no dose,no dose,4.186376431454137
348,Erythrocytes,0.005718954248366013,13439.54248366013,Dwarfhamster,D0,2,Dwarfhamster_D0_no dose,no dose,4.128384484476451
349,ILC2,0.004493464052287581,10559.640522875816,Dwarfhamster,D0,2,Dwarfhamster_D0_no dose,no dose,4.023649133956438
350,Ciliated,0.003676470588235294,8639.70588235294,Dwarfhamster,D0,2,Dwarfhamster_D0_no dose,no dose,3.9364989582375376
351,Platelets,0.0016339869281045752,3839.869281045752,Dwarfhamster,D0,2,Dwarfhamster_D0_no dose,no dose,3.584316440126175
352,Mast cells,0.0008169934640522876,1919.934640522876,Dwarfhamster,D0,2,Dwarfhamster_D0_no dose,no dose,3.283286444462194
353,Fibroblasts,0.0008169934640522876,1919.934640522876,Dwarfhamster,D0,2,Dwarfhamster_D0_no dose,no dose,3.283286444462194
354,pDC,0.0004084967320261438,959.967320261438,Dwarfhamster,D0,2,Dwarfhamster_D0_no dose,no dose,2.982256448798213
355,Endothelial cells,0.2246498599439776,617787.1148459384,Dwarfhamster,D0,3,Dwarfhamster_D0_no dose,no dose,5.790838846002233
356,Bcells,0.21680672268907564,596218.487394958,Dwarfhamster,D0,3,Dwarfhamster_D0_no dose,no dose,5.775405438400962
357,T cells,0.1803921568627451,496078.43137254904,Dwarfhamster,D0,3,Dwarfhamster_D0_no dose,no dose,5.695550345077882
358,Treml4+Macrophages,0.08179271708683473,224929.97198879553,Dwarfhamster,D0,3,Dwarfhamster_D0_no dose,no dose,5.352047329166488
359,AT2,0.05434173669467787,149439.77591036414,Dwarfhamster,D0,3,Dwarfhamster_D0_no dose,no dose,5.174466207648296
360,AlveolarMacrophages,0.05378151260504202,147899.15966386555,Dwarfhamster,D0,3,Dwarfhamster_D0_no dose,no dose,5.169965706421619
361,NK cells,0.03081232492997199,84733.89355742297,Dwarfhamster,D0,3,Dwarfhamster_D0_no dose,no dose,4.928057162876295
362,Neutrophils,0.030252100840336135,83193.27731092437,Dwarfhamster,D0,3,Dwarfhamster_D0_no dose,no dose,4.9200882332050195
363,MonocyticMacrophages,0.025210084033613446,69327.73109243698,Dwarfhamster,D0,3,Dwarfhamster_D0_no dose,no dose,4.840906987157394
364,Plasma cells,0.018487394957983194,50840.336134453784,Dwarfhamster,D0,3,Dwarfhamster_D0_no dose,no dose,4.706208413259938
365,Myofibroblast,0.017366946778711485,47759.10364145658,Dwarfhamster,D0,3,Dwarfhamster_D0_no dose,no dose,4.679056167216324
366,InterstitialMacrophages,0.014005602240896359,38515.406162464984,Dwarfhamster,D0,3,Dwarfhamster_D0_no dose,no dose,4.585634482054088
367,SmoothMuscle,0.011204481792717087,30812.32492997199,Dwarfhamster,D0,3,Dwarfhamster_D0_no dose,no dose,4.488724469046032
368,ILC2,0.009523809523809525,26190.476190476194,Dwarfhamster,D0,3,Dwarfhamster_D0_no dose,no dose,4.418143394760325
